source_id,source,tf_id,restaurant_url,restaurant_name,latitude,longitude,address,street,house_number,postal_code,city,rating,review_count,has_rating,has_review_count,low_review,avg_price_eur,discount_pct,has_discount,cuisines,dietary_options,has_hours,photo_count,has_reviews,sample_size,sample_avg_rating,rating_sample_divergent,flags
da-rino-pizza-e-pollo-r732743,thefork,732743,https://www.thefork.it/ristorante/da-rino-pizza-e-pollo-r732743,Da Rino Pizza e Pollo,45.4628705,9.1395758,"Via Sofonisba Anguissola, 21, Milano, 20146, Italia",Via Sofonisba Anguissola,21,20146,Milano,8.7,148,1,1,0,15,,0,['Mediterraneo'],[],1,19,1,5,9.2,0,[]
da-vittorio-cafe-louis-vuitton-r838490,thefork,838490,https://www.thefork.it/ristorante/da-vittorio-cafe-louis-vuitton-r838490,Da Vittorio Cafè Louis Vuitton,45.46720209999999,9.196548299999998,"Via Monte Napoleone, 2, Milano, 20121, Italia",Via Monte Napoleone,2,20121,Milano,9.2,172,1,1,0,30,,0,[],[],0,36,1,5,9.1,0,[]
dahlia-oven-r820660,thefork,820660,https://www.thefork.it/ristorante/dahlia-oven-r820660,Dahlia.oven,45.44791,9.1978557,"Via Giuseppe Ripamonti, 35, Milano, 20135, Italia",Via Giuseppe Ripamonti,35,20135,Milano,8.8,82,1,1,0,20,,0,['Pizzeria'],[],1,44,1,5,8.5,0,[]
daimyo-milano-r854894,thefork,854894,https://www.thefork.it/ristorante/daimyo-milano-r854894,Daimyo Milano,45.4511561,9.193456399999999,"V.le Bligny, 29, Milano, 20136, Italia",V.le Bligny,29,20136,Milano,9.4,60,1,1,0,28,30,1,['Cinese'],[],0,41,1,5,9.7,0,[]
desinolento-pizzeria-r323517,thefork,323517,https://www.thefork.it/ristorante/desinolento-pizzeria-r323517,DesinoLento pizzeria,45.4709427,9.1596568,"Largo Riccardo Zandonai, 3, Milano, 20145, Italia",Largo Riccardo Zandonai,3,20145,Milano,9.2,51,1,1,0,30,30,1,"['Pizzeria', 'Europeo', 'Italiano']",['gluten_free'],1,37,0,0,,0,[]
dhole-r486583,thefork,486583,https://www.thefork.it/ristorante/dhole-r486583,Dhole,45.4520126,9.208638,"Via Gerolamo Tiraboschi, 2, Milano, 20135, Italia",Via Gerolamo Tiraboschi,2,20135,Milano,8.0,746,1,1,0,40,,0,['Cucina internazionale'],[],1,55,1,5,5.9,1,['rating_sample_divergent']
dica-milano-r822961,thefork,822961,https://www.thefork.it/ristorante/dica-milano-r822961,Dica Milano,45.4793609,9.164460799999999,"Via Francesco Ferrucci, 1, Milano, 20145, Italia",Via Francesco Ferrucci,1,20145,Milano,9.1,1072,1,1,0,23,20,1,['Pizzeria'],[],1,49,1,5,8.9,0,[]
dilli-bistrot-indian-fusion-cuisine-r854659,thefork,854659,https://www.thefork.it/ristorante/dilli-bistrot-indian-fusion-cuisine-r854659,Dilli Bistrot Indian Fusion Cuisine,45.4755897,9.204412999999999,"Via Alessandro Tadino, 1, Milano, 20124, Italia",Via Alessandro Tadino,1,20124,Milano,9.0,79,1,1,0,30,20,1,['Indiano'],[],0,12,1,5,8.6,0,[]
dogana-r298507,thefork,298507,https://www.thefork.it/ristorante/dogana-r298507,Dogana,45.4631266,9.1887957,"Via Dogana, 3 (angolo Piazza del Duomo), Milano, 20123, Italia",Via Dogana,3 (angolo Piazza del Duomo),20123,Milano,8.1,1944,1,1,0,22,20,1,"['Italiano', 'Pizzeria', 'Europeo']","['gluten_free', 'organic', 'vegetarian']",1,15,1,5,6.3,1,['rating_sample_divergent']
domo-sushi-r808577,thefork,808577,https://www.thefork.it/ristorante/domo-sushi-r808577,Domò Sushi,45.4783254,9.1892002,"Via S. Marco, 40, Milano, 20121, Italia",Via S. Marco,40,20121,Milano,9.3,201,1,1,0,40,,0,['Asiatico'],[],1,36,1,5,9.1,0,[]
