source,record_id,issue_type,field,value,detail
Google Places,ChIJ0ys27FnEhkcRj-QM4VZxjFw,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0zIb6mrEhkcRHW-oEuhufMo,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1-mgZ5zHhkcRqDIYQq5MaDU,low_review_count,review_count,12,Review count is below 20; ratings are less reliable.
Google Places,ChIJ12TmVgDFhkcRGdxa0mwqCJA,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ12TmVgDFhkcRGdxa0mwqCJA,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1370LyXEhkcRVoh8945gKKM,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1370LyXEhkcRVoh8945gKKM,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ146TIQDDhkcRdAkQfs0CIMs,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ146TIQDDhkcRdAkQfs0CIMs,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ14cz90bHhkcRng8Rus_TNoc,low_review_count,review_count,17,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1562rCPEhkcRBIv3GEOdVNU,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ15HzVCXDhkcRnkP88ULnt2w,low_review_count,review_count,17,Review count is below 20; ratings are less reliable.
Google Places,ChIJ15R_tT_DhkcROPfaJ6f875c,low_review_count,review_count,5,Review count is below 20; ratings are less reliable.
Google Places,ChIJ15YjcMDGhkcRLoPHM13ReTA,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ16-oxVPBhkcROhjn9_03k-E,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ16-oxVPBhkcROhjn9_03k-E,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ165zm4TFhkcRweJ3pDSz9lA,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ165zm4TFhkcRweJ3pDSz9lA,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ16mJSPLHhkcRbqdlKJElf3o,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ184Ui0rDhkcRg4-ZTfOLIbQ,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ184Ui0rDhkcRg4-ZTfOLIbQ,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ19RTG9bDhkcRhXthlAf7W54,low_review_count,review_count,16,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1QN6TQDHhkcRZH4z_uElUpA,low_review_count,review_count,6,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1QkgY-PJhkcRxrUAlaVN3mo,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1QkgY-PJhkcRxrUAlaVN3mo,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1Sbi6-nHhkcRUPAChu9dgXw,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1Sbi6-nHhkcRUPAChu9dgXw,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1SzryS3BhkcRAyal1llAb6Q,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1T7d_y_BhkcR-zXxqsapJL4,low_review_count,review_count,13,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1TqBWQDDhkcRQPajFx_mtss,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1TqBWQDDhkcRQPajFx_mtss,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1UGUPlXFhkcRJsB4iehHfx8,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1UGUPlXFhkcRJsB4iehHfx8,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1We1BmLBhkcRp2Td-pyTwVg,low_review_count,review_count,10,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1WiJNADBhkcRRMfKnZp4HzI,low_review_count,review_count,14,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1XBLB03BhkcRhDLwrutkHts,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1XBLB03BhkcRhDLwrutkHts,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1ZsToEjAhkcRunQyMIU1wB4,low_review_count,review_count,11,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1ZzlDSLEhkcRzfd36t7fM3g,low_review_count,review_count,13,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1aL8E6bIhkcRQgxrDFk_iKg,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1aL8E6bIhkcRQgxrDFk_iKg,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1agBaIbFhkcRlpIOQ7lYt8w,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1agBaIbFhkcRlpIOQ7lYt8w,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1aj8SabIhkcRwWucMJd8v9o,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1aj8SabIhkcRwWucMJd8v9o,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
